block,ID,warming,watering,date,survived,died,total
1,1,warmed,watered,1,3,2,5
1,2,warmed,control,1,0,5,5
1,3,warmed,watered,1,2,3,5
1,4,warmed,control,1,4,1,5
1,5,control,watered,1,2,3,5
1,6,control,control,1,0,5,5
1,7,control,control,1,0,5,5
1,8,control,watered,1,2,3,5
2,9,control,control,1,2,3,5
2,10,control,watered,1,0,5,5
2,11,control,control,1,2,3,5
2,12,control,watered,1,4,1,5
2,13,warmed,control,1,3,2,5
2,14,warmed,watered,1,1,4,5
2,15,warmed,watered,1,4,1,5
2,16,warmed,control,1,2,3,5
3,17,warmed,watered,1,3,2,5
3,18,warmed,watered,1,4,1,5
3,19,warmed,control,1,4,1,5
3,20,warmed,control,1,2,3,5
3,21,control,watered,1,1,4,5
3,22,control,watered,1,4,1,5
3,23,control,control,1,3,2,5
3,24,control,control,1,0,5,5
4,25,warmed,watered,1,3,2,5
4,26,warmed,control,1,4,1,5
4,27,warmed,control,1,3,2,5
4,28,warmed,watered,1,2,3,5
4,29,control,watered,1,3,2,5
4,30,control,control,1,3,2,5
4,31,control,control,1,4,1,5
4,32,control,watered,1,5,0,5
5,33,control,watered,1,1,4,5
5,34,control,control,1,0,5,5
5,35,control,watered,1,3,2,5
5,36,control,control,1,2,3,5
5,37,warmed,control,1,0,5,5
5,38,warmed,watered,1,0,5,5
5,39,warmed,control,1,0,5,5
5,40,warmed,watered,1,1,4,5
1,1,warmed,watered,2,2,1,
1,2,warmed,control,2,0,0,
1,3,warmed,watered,2,1,1,
1,4,warmed,control,2,2,2,
1,5,control,watered,2,0,2,
1,6,control,control,2,0,0,
1,7,control,control,2,0,0,
1,8,control,watered,2,0,2,
2,9,control,control,2,1,1,
2,10,control,watered,2,0,0,
2,11,control,control,2,0,2,
2,12,control,watered,2,0,4,
2,13,warmed,control,2,0,3,
2,14,warmed,watered,2,0,1,
2,15,warmed,watered,2,0,4,
2,16,warmed,control,2,0,2,
3,17,warmed,watered,2,0,3,
3,18,warmed,watered,2,1,3,
3,19,warmed,control,2,1,3,
3,20,warmed,control,2,0,2,
3,21,control,watered,2,1,0,
3,22,control,watered,2,1,3,
3,23,control,control,2,0,3,
3,24,control,control,2,0,0,
4,25,warmed,watered,2,0,3,
4,26,warmed,control,2,0,4,
4,27,warmed,control,2,0,3,
4,28,warmed,watered,2,2,0,
4,29,control,watered,2,1,2,
4,30,control,control,2,2,1,
4,31,control,control,2,2,2,
4,32,control,watered,2,1,4,
5,33,control,watered,2,1,0,
5,34,control,control,2,0,0,
5,35,control,watered,2,1,2,
5,36,control,control,2,0,2,
5,37,warmed,control,2,0,0,
5,38,warmed,watered,2,0,0,
5,39,warmed,control,2,0,0,
5,40,warmed,watered,2,0,1,
